Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,71901,0,76,76.97937693495093,1.420700000380748,688.1907999995747,489.0,802.5960648159206,0.0,76,85,92,100,120,130,150,210,390,640,690
GET,GET /a,35352,0,76,76.9981405889332,1.4397999984794296,642.2883000013826,491.0,394.6172665661455,0.0,76,85,93,100,120,130,150,200,370,600,640
GET,GET /b,11888,0,76,77.4026023132502,1.4406999998755055,686.7481999997835,491.0,132.69999052212992,0.0,76,85,93,100,120,130,150,210,400,690,690
,Aggregated,119141,0,76,77.02717438497014,1.420700000380748,688.1907999995747,489.793009962985,1329.913321904196,0.0,76,85,93,100,120,130,150,210,380,640,690
