Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,38455,0,4,4.584051369132612,1.4778999993723119,106.59490000034566,489.0,324.87053882075793,0.0,4,5,6,6,8,9,11,14,62,93,110
GET,GET /a,19301,0,4,4.543877415673879,1.4592999996239087,101.20649999953457,491.0,163.05620256870233,0.0,4,5,6,6,7,9,11,14,53,93,100
GET,GET /b,6320,0,4,4.64293870251615,1.5200000016193371,102.9063000005408,491.0,53.3918035456297,0.0,4,5,6,6,8,9,12,15,73,100,100
,Aggregated,64076,0,4,4.577758380670057,1.4592999996239087,106.59490000034566,489.7997065984144,541.31854493509,0.0,4,5,6,6,8,9,11,14,63,93,110
