Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19973,12,300,527.5051390627763,0.9458999847993255,19895.430100004887,20.372102338156513,66.7087767869311,0.04007937322601377,300,350,390,410,1300,1500,2700,4300,7600,20000,20000
GET,GET /a,9796,7,300,540.935580134749,1.3886000087950379,20053.403900004923,21.373213556553697,32.71812834350258,0.023379634381841367,300,350,390,410,1400,1600,3300,4300,7500,20000,20000
GET,GET /b,3296,1,330,538.2737733921248,2.9503999976441264,11825.098700006492,21.993325242718445,11.00846784607845,0.003339947768834481,330,370,400,410,1400,1500,2700,4300,5900,12000,12000
,Aggregated,33065,20,300,532.5575515681651,0.9458999847993255,20053.403900004923,20.83030394677151,110.43537297651211,0.06679895537668962,300,350,390,410,1300,1500,2900,4300,7500,20000,20000
