Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,13643,3306,310,859.5429049401761,1.2272000021766871,134475.0517999928,15.444330425859414,45.67745900036228,11.068656413926387,310,410,2000,2000,2100,2100,2300,3400,7200,71000,134000
GET,GET /a,6681,1632,310,845.2461228858701,1.2898000131826848,36170.939200004796,16.16255051638976,22.368328342843977,5.464019137183262,310,410,2000,2000,2100,2100,2300,3400,5500,36000,36000
GET,GET /b,2351,579,340,887.0952170140944,3.5259000142104924,71111.06279998785,16.58188005104211,7.8712677644104465,1.9385214953609735,340,450,2000,2000,2100,2100,2300,3300,7500,71000,71000
,Aggregated,22675,5517,310,858.187168877594,1.2272000021766871,134475.0517999928,15.773891951488423,75.9170551076167,18.47119704647062,310,420,2000,2000,2100,2100,2300,3400,5800,71000,134000
