Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19439,0,4,4.029355383507634,1.8820999976014718,37.263200003508246,490.0,162.6804690321015,0.0,4,4,5,5,6,7,9,13,23,36,37
GET,GET /a,9699,0,4,4.002101711514205,1.9114999995508697,35.518700002285186,492.0,81.16867478483216,0.0,4,4,5,5,6,6,8,12,24,36,36
GET,GET /b,3173,0,4,3.9824157264268356,1.9542000009096228,27.63079999931506,492.0,26.554098885686408,0.0,4,4,5,5,6,6,8,11,23,28,28
,Aggregated,32311,0,4,4.01656491287591,1.8820999976014718,37.263200003508246,490.7967565225465,270.4032427026201,0.0,4,4,5,5,6,6,8,13,23,36,37
