Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,6745,1,280,331.59577587852135,14.27220000186935,4559.198100003414,20.375389177168273,56.73673421996583,0.008411672975532369,280,310,330,360,410,580,1400,1500,2500,4600,4600
GET,GET /a,3402,3,280,334.3910010285283,2.356899989536032,5419.377100013662,21.368900646678423,28.61651146276112,0.02523501892659711,280,310,330,360,410,570,1400,1500,3500,5400,5400
GET,GET /b,1155,0,310,371.17248277013084,28.906599996844307,4675.928500015289,22.0,9.715482286739887,0.0,310,340,370,390,430,640,1400,1500,2600,4700,4700
,Aggregated,11302,4,280,336.4816768181907,2.356899989536032,5419.377100013662,20.840470713148115,95.06872796946683,0.033646691902129475,280,310,340,360,410,590,1400,1500,3300,4700,5400
