Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11902,3656,390,1011.481557637426,2.2794999822508544,11744.47569999029,14.123760712485296,39.73470030143474,12.205517081334685,390,1600,2000,2000,2100,2100,2500,3500,7500,7800,12000
GET,GET /a,5894,1831,390,1021.5738199692364,2.3668000067118555,19612.778000009712,14.737869019341703,19.677056257490875,6.112774008731895,390,2000,2000,2000,2100,2100,2600,3700,7500,20000,20000
GET,GET /b,1928,598,400,1023.6250602700019,27.382500004023314,7788.327599992044,15.176348547717842,6.436607476152427,1.9964166342008047,400,1600,2000,2000,2100,2100,2500,3400,7400,7800,7800
,Aggregated,19724,6085,400,1015.6843799482846,2.2794999822508544,19612.778000009712,14.410160210910567,65.84836403507805,20.314707724267386,400,1600,2000,2000,2100,2100,2500,3500,7500,12000,20000
