Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19474,0,4,3.8810862945656344,1.9186999998055398,135.1148000030662,490.0,162.7781079223163,0.0,4,4,4,5,5,6,8,12,24,43,140
GET,GET /a,9584,0,4,3.8471211185307266,1.9578000028559472,34.183399999164976,492.0,80.11016670059975,0.0,4,4,4,5,5,6,7,11,25,34,34
GET,GET /b,3252,0,4,3.873471063953145,2.0111000012548175,40.26059999887366,492.0,27.18262334206494,0.0,4,4,4,5,5,6,8,13,29,40,40
,Aggregated,32310,0,4,3.8702448529973776,1.9186999998055398,135.1148000030662,490.79455277004024,270.070897964981,0.0,4,4,4,5,5,6,8,12,25,40,140
