Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19309,12,310,556.5052199907199,1.1935999791603535,35914.75090000313,20.37107048526594,64.55224197086206,0.04011740140091899,310,350,390,420,1400,1600,3400,4400,7600,20000,36000
GET,GET /a,9501,4,310,547.0885792337409,1.5282999956980348,19994.34130001464,21.3737501315651,31.76295255917761,0.013372467133639663,310,360,390,410,1400,1600,3300,4400,7700,20000,20000
GET,GET /b,3249,3,330,575.3547089873653,4.861600027652457,36104.9887999834,21.979686057248383,10.861786429298816,0.010029350350229747,330,380,400,420,1400,1600,3400,4400,7500,36000,36000
,Aggregated,32059,19,310,555.6247959574691,1.1935999791603535,36104.9887999834,20.831248635328613,107.17698095933848,0.0635192188847884,310,360,400,420,1400,1600,3400,4400,7600,20000,36000
