Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,20355,9,300,517.5022946844246,1.4660999877378345,19960.80639999127,20.376074674527143,68.00540459672317,0.03006871242301688,300,340,380,400,1300,1500,2700,4300,7500,20000,20000
GET,GET /a,10119,3,300,513.4492778831575,8.032400015508756,19726.779199991142,21.37968178673782,33.807255667611976,0.010022904141005626,300,330,380,400,1300,1500,2600,4300,7500,20000,20000
GET,GET /b,3328,3,320,540.5344539061178,2.1791000035591424,11918.20459999144,21.98016826923077,11.118741660422241,0.010022904141005626,320,370,390,410,1400,1500,3300,4400,7400,12000,12000
,Aggregated,33802,15,300,518.5566272350945,1.4660999877378345,19960.80639999127,20.83444766581859,112.9314019247574,0.05011452070502813,300,340,380,400,1300,1500,2700,4300,7500,20000,20000
