Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,14377,2058,350,800.5667001461712,5.289799999445677,35993.2461999997,17.469291229046394,47.983170248492996,6.868565373262752,350,420,1300,1500,2000,2100,3300,4400,7500,20000,36000
GET,GET /a,7147,1145,360,820.786937526104,16.478000005008653,35997.18489998486,17.954106618161465,23.853079068371667,3.8214321440164487,360,440,1400,1700,2000,2100,3200,4400,7800,36000,36000
GET,GET /b,2350,348,380,813.625290978804,26.462700014235452,11706.535800010897,18.742127659574468,7.843114007370003,1.1614483721552176,380,440,1400,1500,2000,2100,3200,4500,7500,12000,12000
,Aggregated,23874,3551,360,807.9052996691228,5.289799999445677,35997.18489998486,17.739716846778922,79.67936332423467,11.851445889434418,360,430,1400,1500,2000,2100,3300,4400,7600,20000,36000
