Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,20110,8,300,526.2097855295407,1.801500009605661,69030.66029999172,20.379910492292392,67.21462451041184,0.026738786478532808,300,340,390,400,1300,1500,3300,4300,7400,20000,69000
GET,GET /a,9883,7,300,528.4529434586472,1.3775000115856528,11749.099900014699,21.36416067995548,33.03242834591747,0.023396438168716206,300,350,390,410,1300,1500,3300,4400,7600,12000,12000
GET,GET /b,3194,1,330,572.1533032872687,20.352299994556233,69065.28640000033,21.993112085159673,10.675460501554223,0.003342348309816601,330,380,400,420,1400,1600,3200,4400,5700,69000,69000
,Aggregated,33187,16,310,531.2995111911374,1.3775000115856528,69065.28640000033,20.82827613222045,110.92251335788353,0.053477572957065615,310,350,390,410,1300,1500,3300,4400,7400,20000,69000
