Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19130,5,320,549.270916267615,1.3744999887421727,20404.579800000647,20.382592786199687,63.95887518126732,0.016716904124743158,320,370,400,430,1400,1600,2600,3700,7500,20000,20000
GET,GET /a,9820,0,320,552.3495809981089,16.62380000925623,11802.522400015732,21.388187372708757,32.83199970099556,0.0,320,370,400,430,1400,1600,2700,4300,7500,12000,12000
GET,GET /b,3161,1,340,582.1888374563702,9.56809998024255,11429.28209999809,21.993040177159127,10.568426787662624,0.0033433808249486315,340,390,410,450,1400,1600,3300,4400,7500,11000,11000
,Aggregated,32111,6,320,553.45284883063,1.3744999887421727,20404.579800000647,20.848649995328703,107.3593016699255,0.020060284949691788,320,370,400,430,1400,1600,2700,3900,7500,20000,20000
