Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,21339,1,290,469.68940533755466,8.434499992290512,19988.646700017853,20.38361685177375,71.38419719945884,0.0033452456628454397,290,310,340,370,1300,1400,2500,3500,5600,12000,20000
GET,GET /a,10886,1,280,484.2189307091671,7.4822999886237085,36009.34930000221,21.38012125665993,36.416344285735455,0.0033452456628454397,280,310,350,380,1300,1400,2500,3400,7500,36000,36000
GET,GET /b,3493,0,310,528.15908113384,24.506800022209063,35972.29200002039,22.0,11.68494310031912,0.0,310,340,380,390,1300,1500,3300,4300,7400,36000,36000
,Aggregated,35718,2,290,479.8356338708378,7.4822999886237085,36009.34930000221,20.845400078391847,119.48548458551342,0.0066904913256908794,290,320,350,380,1300,1400,2500,3500,5900,36000,36000
