Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,18466,10,330,586.4612795895517,1.2322000111453235,35829.816899989964,20.37847936748619,61.90838881489344,0.03352560858599233,330,380,410,460,1400,1700,3400,4400,7600,20000,36000
GET,GET /a,9202,1,330,583.2787074765013,1.883399992948398,11830.298599990783,21.38491632253858,30.850265020830143,0.003352560858599233,330,380,410,460,1400,1700,3400,4400,7400,12000,12000
GET,GET /b,3065,3,360,591.5795647307697,2.430699998512864,7622.949300013715,21.978466557911908,10.27559903160665,0.0100576825757977,360,400,430,490,1400,1600,2700,4400,7500,7600,7600
,Aggregated,30733,14,330,586.0188078286888,1.2322000111453235,35829.816899989964,20.839390882764455,103.03425286733024,0.04693585202038927,330,390,410,460,1400,1700,3400,4400,7600,20000,36000
