Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19983,11,300,535.7904972327182,1.2119000020902604,19684.831000020495,20.370965320522444,66.82381625234865,0.03678436564959391,300,340,390,400,1300,1600,3300,4400,7600,20000,20000
GET,GET /a,9747,4,300,518.3321434389695,1.1671000102069229,35859.12290000124,21.3730378578024,32.59429199878108,0.013376132963488696,300,340,380,400,1300,1500,3200,4300,7500,36000,36000
GET,GET /b,3270,2,330,530.3587769421098,3.026299993507564,7633.586799987825,21.986544342507646,10.93498869765201,0.006688066481744348,330,370,390,410,1400,1500,2500,3600,7400,7600,7600
,Aggregated,33000,17,300,530.0957002697506,1.1671000102069229,35859.12290000124,20.827030303030302,110.35309694878174,0.05684856509482696,300,340,390,400,1300,1500,3200,4300,7500,12000,36000
