Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,6670,0,280,341.8794977061452,17.236300016520545,4422.213799989549,20.39625187406297,56.177676479850085,0.0,280,310,330,360,420,1200,1400,1500,3500,4400,4400
GET,GET /a,3321,0,270,343.19740587162096,18.47569999517873,4466.044000000693,21.39897621198434,27.970924076399122,0.0,270,310,330,360,410,1300,1400,1500,3400,4500,4500
GET,GET /b,1054,0,310,392.66337020870736,32.85180000239052,2454.323200014187,22.0,8.877252025451574,0.0,310,340,370,390,480,1400,1500,1500,2400,2500,2500
,Aggregated,11045,0,280,347.12195806243756,17.236300016520545,4466.044000000693,20.850792213671344,93.02585258170078,0.0,280,310,340,360,420,1300,1400,1500,3400,4400,4500
