Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,19265,0,4,3.8847830885057997,1.9381999991310295,80.57279999775346,490.0,161.2896161210215,0.0,4,4,4,5,5,6,8,12,24,80,81
GET,GET /a,9614,0,4,3.9072031828657314,1.9466999983706046,82.55540000027395,492.0,80.48992314495202,0.0,4,4,4,5,5,6,8,12,24,83,83
GET,GET /b,3296,0,4,3.9488791868849344,1.996899998630397,54.86960000052932,492.0,27.594631442246918,0.0,4,4,4,5,5,6,9,13,24,55,55
,Aggregated,32175,0,4,3.89804827972364,1.9381999991310295,82.55540000027395,490.8024864024864,269.37417070822045,0.0,4,4,4,5,5,6,8,12,24,80,83
